studentId,ciclo,Calificacion_Promedio,Tareas_Puntuales,Tareas_No_Entregadas,Tareas_Retrasadas,Total_Tareas
81328.0,2019 - 05,99.0,10.0,0.0,0.0,10.0
99206.0,2020 - 02,80.7775,10.0,2.0,0.0,12.0
94582.0,2020 - 01,79.666,10.0,0.0,0.0,10.0
87564.0,2019 - 07,0.0,0.0,15.0,0.0,15.0
87971.0,2019 - 08,36.36363636363637,5.0,6.0,0.0,11.0
89021.0,2019 - 08,53.57142857142857,8.0,5.0,1.0,14.0
56113.0,2018 - 01,95.70333333333333,9.0,0.0,0.0,9.0
47815.0,2017 - 04,100.0,9.0,0.0,0.0,9.0
99917.0,2020 - 02,89.90272727272728,10.0,0.0,1.0,11.0
67984.0,2018 - 08,94.54545454545455,11.0,0.0,0.0,11.0
94610.0,2020 - 01,90.0,10.0,0.0,0.0,10.0
101036.0,2020 - 02,71.666875,12.0,4.0,0.0,16.0
100690.0,2020 - 02,94.24272727272728,11.0,0.0,0.0,11.0
77108.0,2019 - 04,70.166,8.0,2.0,0.0,10.0
79594.0,2019 - 05,87.667,10.0,0.0,0.0,10.0
94211.0,2020 - 01,50.0,8.0,4.0,0.0,12.0
68620.0,2018 - 08,28.181818181818183,4.0,7.0,0.0,11.0
89860.0,2019 - 08,76.81818181818181,10.0,1.0,0.0,11.0
64431.0,2018 - 06,11.11111111111111,1.0,8.0,0.0,9.0
94265.0,2020 - 01,12.142857142857142,2.0,12.0,0.0,14.0
80728.0,2019 - 05,85.0,10.0,0.0,0.0,10.0
91477.0,2020 - 01,98.0,15.0,0.0,0.0,15.0
68935.0,2018 - 08,86.85222222222222,9.0,0.0,0.0,9.0
60266.0,2018 - 03,77.22222222222223,9.0,0.0,0.0,9.0
101029.0,2020 - 02,92.96222222222222,9.0,0.0,0.0,9.0
92500.0,2020 - 01,75.0,10.0,2.0,0.0,12.0
86192.0,2019 - 07,80.9090909090909,11.0,0.0,0.0,11.0
92231.0,2020 - 01,0.0,0.0,15.0,0.0,15.0
84363.0,2019 - 07,86.001,9.0,0.0,1.0,10.0
76199.0,2019 - 04,92.16055555555556,17.0,1.0,0.0,18.0
81433.0,2019 - 06,90.0,9.0,0.0,0.0,9.0
75130.0,2019 - 03,92.77777777777777,9.0,0.0,0.0,9.0
102292.0,2020 - 02,93.333,9.0,0.0,1.0,10.0
77690.0,2019 - 04,89.91066666666667,15.0,0.0,0.0,15.0
87016.0,2019 - 08,93.68933333333334,14.0,0.0,1.0,15.0
78223.0,2019 - 04,90.0,11.0,0.0,0.0,11.0
67918.0,2018 - 07,0.0,0.0,10.0,0.0,10.0
85268.0,2019 - 07,68.05583333333334,10.0,2.0,0.0,12.0
99937.0,2020 - 02,81.81818181818181,11.0,0.0,0.0,11.0
82772.0,2019 - 06,59.696363636363635,9.0,2.0,0.0,11.0
96656.0,2020 - 01,78.85583333333334,12.0,0.0,0.0,12.0
69108.0,2018 - 08,83.49181818181818,11.0,0.0,0.0,11.0
83575.0,2019 - 06,81.667,10.0,0.0,0.0,10.0
65732.0,2018 - 06,81.4811111111111,9.0,0.0,0.0,9.0
77891.0,2019 - 04,85.55533333333334,15.0,0.0,0.0,15.0
87402.0,2019 - 07,89.667,10.0,0.0,0.0,10.0
98226.0,2020 - 02,88.666,10.0,0.0,0.0,10.0
