studentId,ciclo,Dias_Conectado,Minutos_Promedio,Minutos_Total
45870,2017 - 03,10.0,76.95700000000001,769.57
45898,2017 - 03,32.0,370.2312499999999,11847.399999999996
45905,2017 - 03,50.0,198.71739999999997,9935.869999999999
45931,2017 - 03,22.0,294.5359090909091,6479.790000000001
45933,2017 - 03,18.0,177.99166666666667,3203.8500000000004
45947,2017 - 03,12.0,313.5083333333333,3762.1
46063,2017 - 03,29.0,471.4213793103449,13671.220000000001
46106,2017 - 03,31.0,306.0232258064516,9486.72
46151,2017 - 03,9.0,521.2911111111111,4691.62
46180,2017 - 03,30.0,691.9446666666666,20758.34
46272,2017 - 03,8.0,269.21375,2153.71
46324,2017 - 03,80.0,296.22849999999994,23698.279999999995
46345,2017 - 04,34.0,327.384411764706,11131.070000000003
46366,2017 - 03,12.0,483.4983333333334,5801.9800000000005
46374,2017 - 03,35.0,273.00542857142864,9555.190000000002
46403,2017 - 03,3.0,387.2766666666667,1161.8300000000002
46421,2017 - 04,18.0,436.248888888889,7852.480000000001
46443,2017 - 03,37.0,457.59945945945947,16931.18
46466,2017 - 03,35.0,412.01628571428563,14420.569999999998
46477,2017 - 03,36.0,556.3600000000001,20028.960000000006
46561,2017 - 04,21.0,190.292380952381,3996.140000000001
46569,2017 - 03,18.0,295.80944444444447,5324.570000000001
46599,2017 - 03,40.0,773.243,30929.72
46662,2017 - 03,30.0,514.6890000000001,15440.670000000002
46665,2017 - 03,15.0,324.1213333333334,4861.820000000001
46732,2017 - 03,35.0,345.5568571428571,12094.489999999998
46774,2017 - 04,17.0,43.938235294117646,746.9499999999999
46818,2017 - 03,15.0,326.0933333333334,4891.4000000000015
46819,2017 - 03,9.0,216.01,1944.09
46822,2017 - 03,6.0,121.99,731.9399999999999
46830,2017 - 03,10.0,165.643,1656.43
46844,2017 - 04,34.0,190.11411764705886,6463.880000000001
46872,2017 - 04,9.0,396.37,3567.33
46979,2017 - 04,28.0,132.42750000000004,3707.9700000000007
46994,2017 - 04,36.0,265.5127777777778,9558.460000000001
47000,2017 - 04,25.0,539.8124,13495.310000000001
47027,2017 - 04,26.0,131.54115384615386,3420.07
47028,2017 - 04,4.0,19.8675,79.47
47072,2017 - 05,15.0,445.57666666666665,6683.65
47086,2017 - 04,50.0,125.21339999999998,6260.669999999999
47088,2017 - 04,110.0,79.79500000000003,8777.450000000003
47119,2017 - 04,44.0,165.2925,7272.869999999999
47120,2017 - 04,4.0,224.445,897.78
47144,2017 - 04,13.0,322.77384615384614,4196.0599999999995
47160,2017 - 04,5.0,35.228,176.14000000000001
47161,2018 - 03,81.0,265.44086419753086,21500.71
47163,2017 - 05,32.0,94.21406250000001,3014.8500000000004
47170,2018 - 07,104.0,296.091923076923,30793.559999999994
47184,2017 - 04,29.0,388.2868965517241,11260.32
47285,2017 - 05,5.0,63.65999999999999,318.29999999999995
47288,2019 - 08,42.0,84.0566666666667,3530.3800000000015
47319,2017 - 04,22.0,316.8545454545454,6970.799999999999
47387,2017 - 04,32.0,159.25031249999998,5096.009999999999
47420,2017 - 04,64.0,259.0048437499999,16576.309999999994
47424,2017 - 04,80.0,236.32012500000005,18905.610000000004
47443,2017 - 04,32.0,501.58625,16050.76
47497,2017 - 04,8.0,664.6412499999999,5317.129999999999
47558,2017 - 04,61.0,382.05245901639336,23305.199999999993
47586,2017 - 04,31.0,166.501935483871,5161.56
